Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Contaminants,Data Available,Source
Boca Raton Water Treatment Plant,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Boca Raton, Florida,130001,https://www.ewg.org/tapwater/system.php?pws=FL4500130,3,14 ,Chromium (hexavalent);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Chlorate;Chlorodifluoromethane;Dalapon;Fluoride;Haloacetic acids (HAA5);Manganese;Nitrate;Nitrite;Strontium;Vanadium,2012-2017,Groundwater
Bonita Springs Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bonita Springs, Florida,68603,https://www.ewg.org/tapwater/system.php?pws=FL5360025,3,12 ,Arsenic;Chromium (hexavalent);Total trihalomethanes (TTHMs);Barium;Chlorate;Fluoride;Haloacetic acids (HAA5);Nitrate;Nitrite;Radium%2C combined (-226 & -228);Strontium;Vanadium,2012-2017,Groundwater
Boynton Beach Water Treatment Plant,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Boynton Beach, Florida,102512,https://www.ewg.org/tapwater/system.php?pws=FL4500145,3,15 ,Chlorate;Chromium (hexavalent);Total trihalomethanes (TTHMs);Aluminum;Barium;Chromium (total);Dalapon;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate;Nitrite;Strontium;Vanadium,2012-2017,Groundwater
Bradfordville Regional WS,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Quincy, Florida,10641,https://www.ewg.org/tapwater/system.php?pws=FL1370393,4,17 ,Arsenic;Chromium (hexavalent);Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Antimony;Barium;Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate;Selenium;Silver;Strontium;Thallium;Vanadium,2012-2017,Groundwater
Broward County Water and Wastewater Services (BCWWS) - 1A,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Lauderdale Lakes, Florida,75305,https://www.ewg.org/tapwater/system.php?pws=FL4060167,5,14 ,Arsenic;Chlorate;Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Aluminum;Barium;Chromium (total);Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Uranium;Vanadium,2012-2017,Groundwater
Broward County Water and Wastewater Services (BCWWS) - 2A,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Pompano Beach, Florida,54622,https://www.ewg.org/tapwater/system.php?pws=FL4060163,4,15 ,Arsenic;Chlorate;Chromium (hexavalent);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorodifluoromethane;Chromium (total);Fluoride;Haloacetic acids (HAA5);Nitrate;Nitrite;Strontium;Uranium;Vanadium,2012-2017,Groundwater
Broward County Water and Wastewater Services (BCWWS) 3A,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Ft Lauderdale, Florida,16046,https://www.ewg.org/tapwater/system.php?pws=FL4060165,2,8 ,Chromium (hexavalent);Total trihalomethanes (TTHMs);Chlorate;Chlorodifluoromethane;Chromium (total);Haloacetic acids (HAA5);Strontium;Vanadium,2012-2017,Groundwater
Broward County Water and Wastewater Services (BCWWS) 3B/C,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Miramar, Florida,32649,https://www.ewg.org/tapwater/system.php?pws=FL4060162,3,17 ,Arsenic*;Chromium (hexavalent);Total trihalomethanes (TTHMs);1%2C4-Dioxane*;Aluminum*;Barium*;Chlorate;Chlorodifluoromethane;Fluoride*;Haloacetic acids (HAA5);Manganese*;Nitrate*;Nitrite*;Pentachlorophenol*;Strontium;Uranium*;Vanadium,2012-2017,Purchased groundwater
Buenaventura Lakes,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Kissimmee, Florida,16569,https://www.ewg.org/tapwater/system.php?pws=FL3490184,2,6 ,Chlorate;Total trihalomethanes (TTHMs);Chromium (hexavalent);Dalapon;Haloacetic acids (HAA5);Strontium,2012-2017,Groundwater
Central,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Winter Haven, Florida,13595,https://www.ewg.org/tapwater/system.php?pws=FL6534609,3,23 ,Chlorate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);2%2C4-D;Barium;Beryllium;Chromium (hexavalent);Chromium (total);Cyanide;Dalapon;Di(2-ethylhexyl) phthalate;Diquat;Endothall;Fluoride;Glyphosate;Haloacetic acids (HAA5);Hexachlorocyclopentadiene;Manganese;Molybdenum;Nitrate;Nitrite;Strontium;Vanadium,2012-2017,Groundwater
Central Sumter Utility,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,The Villages, Florida,19699,https://www.ewg.org/tapwater/system.php?pws=FL6605038,3,8 ,Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Barium;Di(2-ethylhexyl) phthalate;Fluoride;Haloacetic acids (HAA5);Silver,2012-2017,Groundwater
Charlotte County Utilities,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Port Charlotte, Florida,128967,https://www.ewg.org/tapwater/system.php?pws=FL5084100,2,8 ,Chlorate;Total trihalomethanes (TTHMs);Chromium (hexavalent);Chromium (total);Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium,2012-2017,Purchased surface water
Citrus County Utilities/Charles A. Black,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Lecanto, Florida,20179,https://www.ewg.org/tapwater/system.php?pws=FL6094948,3,11 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Barium;Chlorate;Ethylbenzene;Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium;Xylenes (total),2012-2017,Groundwater
Citrus Springs,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Dunnellon, Florida,15675,https://www.ewg.org/tapwater/system.php?pws=FL6090312,3,11 ,Chromium (hexavalent);Nitrate;Total trihalomethanes (TTHMs);Barium;Chlorate;Chromium (total);Fluoride;Haloacetic acids (HAA5);Strontium;Vanadium;Xylenes (total),2012-2017,Groundwater
City of Apopka,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Apopka, Florida,59931,https://www.ewg.org/tapwater/system.php?pws=FL3480200,2,12 ,Chlorate;Total trihalomethanes (TTHMs);1%2C4-Dioxane;Barium;Chromium (hexavalent);Chromium (total);Fluoride;Haloacetic acids (HAA5);Molybdenum;Nitrate;Strontium;Vanadium,2012-2017,Groundwater
City of Auburndale,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Auburndale, Florida,30761,https://www.ewg.org/tapwater/system.php?pws=FL6530090,2,14 ,Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Asbestos;Barium;Chlorate;Chlorodifluoromethane;Chromium (hexavalent);Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate;Strontium;Vanadium,2012-2017,Groundwater
City of Avon Park,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the Florida Department of Environmental Protection%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Avon Park, Florida,18349,https://www.ewg.org/tapwater/system.php?pws=FL6280049,3,15 ,Arsenic;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Aluminum;Barium;Chlorate;Chromium (hexavalent);Chromium (total);Cyanide;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Nitrate;Strontium,2012-2017,Groundwater
