Utility name,Testing Description,City,State,People Served,Utility Name URL,Exceed Contaminant Count,Total Contaminants,Data Available,Source,Exceed,Other
City of Bakersfield,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Bakersfield, California,138309,https://www.ewg.org/tapwater/system.php?pws=CA1510031,13,38 ,2012-2017,Purchased surface water,1%2C2%2C3-Trichloropropane;1%2C2-Dibromo-3-chloropropane (DBCP);Arsenic;Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium,1%2C4-Dioxane;Aluminum;Antimony;Barium;Beryllium;Bromoform;Bromomethane;Cadmium;Chlorate;Chloromethane;Chromium (total);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Mercury (inorganic);Methyl ethyl ketone;Molybdenum;Monochloroacetic acid;Nitrite;Selenium;Strontium;Thallium;Vanadium
City of Banning,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Banning, California,29965,https://www.ewg.org/tapwater/system.php?pws=CA3310006,6,19 ,2012-2017,Groundwater,Arsenic;Bromodichloromethane;Chromium (hexavalent);Dibromochloromethane;Nitrate;Total trihalomethanes (TTHMs),Bromoform;Chlorate;Chloroform;Chromium (total);Fluoride;Haloacetic acids (HAA5);Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Strontium;Uranium;Vanadium
City of Benicia,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Benicia, California,28000,https://www.ewg.org/tapwater/system.php?pws=CA4810001,2,8 ,2012-2017,Surface water,Chromium (hexavalent);Total trihalomethanes (TTHMs),Fluoride;Haloacetic acids (HAA5);Molybdenum;Strontium;Vanadium
City of Blythe,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Blythe, California,12155,https://www.ewg.org/tapwater/system.php?pws=CA3310003,8,18 ,2012-2017,Groundwater,Bromodichloromethane;Bromoform;Chlorate;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Strontium
City of Brawley,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Brawley, California,51793,https://www.ewg.org/tapwater/system.php?pws=CA1310001,9,20 ,2012-2017,Surface water,Arsenic;Bromodichloromethane;Bromoform;Chlorate;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Barium;Chromium (hexavalent);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Strontium;Vanadium
City Of Brea,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Brea, California,41394,https://www.ewg.org/tapwater/system.php?pws=CA3010002,6,15 ,2012-2017,Purchased surface water,Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Total trihalomethanes (TTHMs),Chlorate;Dibromoacetic acid;Dichloroacetic acid;Haloacetic acids (HAA5);Molybdenum;Strontium;Trichloroacetic acid;Vanadium
City of Brentwood,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Brentwood, California,53278,https://www.ewg.org/tapwater/system.php?pws=CA0710004,5,15 ,2012-2017,Purchased surface water,Arsenic;Chromium (hexavalent);Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Chlorodifluoromethane;Chromium (total);Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Selenium;Strontium;Vanadium
City of Buena Park,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Buena Park, California,82450,https://www.ewg.org/tapwater/system.php?pws=CA3010003,10,24 ,2012-2017,Purchased surface water,Arsenic;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs);Uranium,1%2C4-Dioxane;Bromide;Chlorate;Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Monochloroacetic acid;Strontium;Trichloroacetic acid;Vanadium
City of Burlingame,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Burlingame, California,29867,https://www.ewg.org/tapwater/system.php?pws=CA4110003,7,16 ,2012-2017,Purchased surface water,Bromodichloromethane;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Bromide*;Chlorate;Fluoride*;Haloacetic acids (HAA5);Molybdenum*;Monochloroacetic acid;Strontium;Vanadium
City of Calexico,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Calexico, California,38572,https://www.ewg.org/tapwater/system.php?pws=CA1310002,7,17 ,2012-2017,Surface water,Bromodichloromethane;Bromoform;Chloroform;Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid,Chromium (hexavalent);Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Strontium;Vanadium
City of California City,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,California City, California,14212,https://www.ewg.org/tapwater/system.php?pws=CA1510032,10,24 ,2012-2017,Purchased surface water,Arsenic;Bromodichloromethane;Bromoform;Chromium (hexavalent);Dibromochloromethane;Molybdenum;Nitrate;Radium%2C combined (-226 & -228);Total trihalomethanes (TTHMs);Uranium,Barium;Chlorate;Chloroform;Chromium (total);Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Selenium;Strontium;Trichloroacetic acid;Vanadium
City of Carlsbad,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Carlsbad, California,84838,https://www.ewg.org/tapwater/system.php?pws=CA3710005,11,28 ,2012-2017,Purchased surface water,Arsenic*;Bromate*;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium*,Bromochloroacetic acid*;Bromochloromethane*;Chlorate;Dibromoacetic acid;Dichloromethane (methylene chloride)*;Fluoride*;Haloacetic acids (HAA5);Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Nitrate*;Nitrate and nitrite*;Strontium;tert-Butyl alcohol*;Tritium*;Vanadium
City of Ceres,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Ceres, California,42666,https://www.ewg.org/tapwater/system.php?pws=CA5010028,13,24 ,2012-2017,Groundwater,1%2C2%2C3-Trichloropropane;1%2C2-Dibromo-3-chloropropane (DBCP);Arsenic;Bromoform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Radium%2C combined (-226 & -228);Tetrachloroethylene (perchloroethylene);Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium,Chlorate;Cobalt;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Manganese;Molybdenum;Selenium;Strontium;Vanadium
City of Chino,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Chino, California,18907,https://www.ewg.org/tapwater/system.php?pws=CA3610012,14,27 ,2012-2017,Purchased surface water,1%2C2%2C3-Trichloropropane;1%2C2-Dibromo-3-chloropropane (DBCP);Arsenic;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Dichloroacetic acid;Nitrate;Perchlorate;Total trihalomethanes (TTHMs);Trichloroacetic acid;Uranium,Bromochloroacetic acid;Bromochloromethane;Chlorate;Chromium (total);DCPA mono- and di-acid degradates;Dibromoacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Monobromoacetic acid;Strontium;Vanadium
City of Chino Hills,EWG's drinking water quality report shows results of tests conducted by the water utility and provided to the Environmental Working Group by the California State Water Resources Control Board%2C as well as information from the U.S. EPA Enforcement and Compliance History database (ECHO). For the latest quarter assessed by the U.S. EPA (January 2019 - March 2019)%2C tap water provided by this water utility was in compliance with federal health-based drinking water standards.,Chino Hills, California,75655,https://www.ewg.org/tapwater/system.php?pws=CA3610036,9,28 ,2012-2017,Purchased surface water,Arsenic;Bromodichloromethane;Bromoform;Chloroform;Chromium (hexavalent);Dibromochloromethane;Nitrate;Nitrate and nitrite;Total trihalomethanes (TTHMs),Aluminum;Barium;Chlorate;Chromium (total);Dibromoacetic acid;Dichloroacetic acid;Fluoride;Haloacetic acids (HAA5);Molybdenum;Monobromoacetic acid;Monochloroacetic acid;Perchlorate;Selenium;Strontium;Tetrachloroethylene (perchloroethylene);Trichloroacetic acid;Trichloroethylene;Vanadium
